n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
11,Bayesian Ridge,0.186003508,0.558879375,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_global_E', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
15,Bayesian Ridge,-0.046450172,0.517030064,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'amine_EA', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_num_Hs_x_has_num_Hs', 'amine_BV_main_1', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
16,Bayesian Ridge,-0.043032339,0.500102242,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'amine_EA', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_num_Hs_x_has_num_Hs', 'amine_BV_main_1', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs']"
14,Bayesian Ridge,0.008204754,0.496589889,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'amine_EA', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'amine_BV_main_1', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
12,Bayesian Ridge,0.127474842,0.492975279,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_global_E', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
10,Bayesian Ridge,0.090835205,0.481762384,each,"['amine_class_1_aromatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_global_E', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
9,Bayesian Ridge,0.214926189,0.48084219,each,"['acyl_global_E', 'acyl_FCS_1', 'amine_class_1_aromatic', 'amine_class_1_mixture', 'amine_PYR', 'acyl_BV_secondary_2', 'acyl_has_acidic_H_for_pka_aHs', 'amine_L_main_atom_1', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_DISP_atom', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_2_mixture', 'acyl_fukui_N_Hs_avg', 'acyl_EA', 'acyl_Charges_Hs_avg', 'acyl_num_Hs']"
13,Bayesian Ridge,0.087957686,0.479552665,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'amine_BV_main_1', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_fukui_N_Hs_avg', 'acyl_num_Hs']"
7,Bayesian Ridge,0.340591532,0.411748798,each,"['acyl_global_E', 'acyl_FCS_1', 'amine_class_1_aromatic', 'amine_PYR', 'acyl_BV_secondary_2', 'acyl_has_acidic_H_for_pka_aHs', 'amine_L_main_atom_1', 'amine_class_2_aliphatic', 'acyl_DISP_atom', 'amine_Charges_secondary_avg', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_EA', 'amine_class_1_mixture']"
18,Bayesian Ridge,-0.0632514,0.406191335,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'amine_EA', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic', 'acyl_num_Hs_x_has_num_Hs', 'amine_BV_main_1', 'acyl_EA', 'acyl_FCS_1', 'amine_PYR', 'amine_L_main_atom_1', 'amine_pka_basic', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'acyl_has_acidic_H_for_pka_lowest', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs']"
