n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
11,Bayesian Ridge,0.186004699,0.558879396,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'amine_BV_secondary_avg', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_fukui_N_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
15,Bayesian Ridge,-0.046442503,0.517031973,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_BV_main_1', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_pka_aHs', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
16,Bayesian Ridge,-0.04303114,0.500102475,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_BV_main_1', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_pka_aHs', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
14,Bayesian Ridge,0.008208296,0.496590637,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'amine_hardness', 'amine_BV_main_1', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_pka_aHs', 'amine_pka_basic', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
12,Bayesian Ridge,0.127474504,0.492975249,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'amine_hardness', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_fukui_N_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'amine_pka_basic', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
10,Bayesian Ridge,0.090832537,0.481762228,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'amine_BV_secondary_avg', 'amine_hardness', 'acyl_class_hetero', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_fukui_N_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
9,Bayesian Ridge,0.214928723,0.480842252,each,"['acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_BV_secondary_2', 'amine_HOMO', 'acyl_FCS_1', 'acyl_global_E', 'acyl_fukui_N_Hs_avg', 'amine_PYR', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'acyl_DISP_atom', 'amine_BV_secondary_avg', 'amine_class_2_aliphatic']"
13,Bayesian Ridge,0.087960149,0.479553337,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'amine_hardness', 'amine_BV_main_1', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_fukui_N_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_pka_aHs', 'amine_pka_basic', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
7,Bayesian Ridge,0.340591408,0.411748805,each,"['amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_BV_secondary_2', 'acyl_FCS_1', 'acyl_global_E', 'amine_PYR', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'acyl_DISP_atom', 'amine_class_2_aliphatic']"
18,Bayesian Ridge,-0.063256229,0.406190838,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_aHs', 'amine_FCS_1', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
