iter	RMSE
0	0.85314689
1	0.8380066142
2	0.8250453387
3	0.8119797049
4	0.8021400438
5	0.7903938951
6	0.7786887752
7	0.7682208369
8	0.7582140352
9	0.7477977015
10	0.7381759073
11	0.729869308
12	0.7217369966
13	0.7108338037
14	0.7008773689
15	0.6937338125
16	0.6871519219
17	0.6795223649
18	0.6717773808
19	0.6638885149
20	0.65584686
21	0.6494809211
22	0.6423348629
23	0.6344108743
24	0.627359602
25	0.6206436343
26	0.6151738572
27	0.6089501826
28	0.6028678106
29	0.5976357952
30	0.590976517
31	0.5854299784
32	0.5804914956
33	0.5760231009
34	0.5705952408
35	0.5667261293
36	0.5621706105
37	0.5571992047
38	0.5524835871
39	0.5481139983
40	0.5447243977
41	0.5404969387
42	0.5380763715
43	0.5357307127
44	0.5302117057
45	0.5258912854
46	0.5218639012
47	0.5191793584
48	0.5167735743
49	0.5137426462
50	0.5099730489
51	0.5077519117
52	0.5036992879
53	0.5010736471
54	0.4984792124
55	0.4949716979
56	0.4915370006
57	0.4883774486
58	0.4861202419
59	0.484100533
60	0.4808606092
61	0.4789204526
62	0.4751267271
63	0.4715356462
64	0.4689988141
65	0.4664911787
66	0.4643668059
67	0.4616846069
68	0.4599019352
69	0.4582279842
70	0.4557818781
71	0.4531447499
72	0.4510224833
73	0.4493537451
74	0.4474990423
75	0.4448646053
76	0.4431294547
77	0.4410207219
78	0.4395221692
79	0.4375678018
80	0.4360908138
81	0.4340771929
82	0.4321468972
83	0.4303153501
84	0.428773343
85	0.4269332588
86	0.4248296536
87	0.4233455407
88	0.4215416789
89	0.4203857101
90	0.4187462678
91	0.4177265547
92	0.4157871647
93	0.4138310135
94	0.4122050791
95	0.4106211832
96	0.4095747217
97	0.4093655932
98	0.4076922689
99	0.406340719
100	0.4053357647
101	0.4036733934
102	0.4023045897
103	0.4005819047
104	0.3995282226
105	0.3984139214
106	0.3970983759
107	0.3956650823
108	0.3943452804
109	0.3934666057
110	0.3921322818
111	0.3904284457
112	0.3891600265
113	0.3884020749
114	0.3871659703
115	0.3862976879
116	0.3853685164
117	0.3840185043
118	0.3828175671
119	0.3817270146
120	0.3805144809
121	0.3797051259
122	0.3787736288
123	0.3776923204
124	0.3768700208
125	0.376197169
126	0.3752838476
127	0.3745720722
128	0.3734492884
129	0.3723733954
130	0.3718525048
131	0.370756232
132	0.3699572177
133	0.3690262247
134	0.3682311262
135	0.3671336527
136	0.3665296474
137	0.3661541423
138	0.3649563516
139	0.3641591996
140	0.3627391699
141	0.3619019806
142	0.3610768094
143	0.360242481
144	0.3589377427
145	0.3580115299
146	0.3574409545
147	0.3562266772
148	0.3555290145
149	0.3549049569
150	0.3542223694
151	0.3537437082
152	0.3532091978
153	0.3522490182
154	0.3511146584
155	0.350285717
156	0.3498519173
157	0.3489936865
158	0.3480761213
159	0.3473481438
