iter	Passed	Remaining
0	1	1511
1	2	1337
2	3	1308
3	5	1321
4	6	1265
5	7	1304
6	10	1481
7	11	1459
8	12	1427
9	14	1411
10	15	1397
11	16	1376
12	17	1364
13	19	1352
14	20	1337
15	21	1319
16	22	1309
17	23	1305
18	25	1312
19	26	1297
20	27	1277
21	28	1277
22	29	1269
23	30	1259
24	32	1269
25	33	1263
26	34	1256
27	36	1250
28	37	1246
29	38	1246
30	39	1247
31	41	1248
32	42	1244
33	44	1251
34	45	1252
35	46	1244
36	47	1238
37	49	1249
38	50	1247
39	51	1240
40	52	1235
41	53	1229
42	54	1216
43	55	1212
44	57	1210
45	58	1204
46	59	1205
47	61	1210
48	61	1201
49	63	1210
50	64	1206
51	66	1215
52	67	1214
53	69	1216
54	70	1213
55	71	1209
56	73	1214
57	74	1214
58	76	1216
59	77	1211
60	78	1210
61	80	1215
62	81	1212
63	82	1210
64	83	1206
65	85	1208
66	86	1208
67	87	1205
68	89	1210
69	91	1212
70	92	1214
71	94	1213
72	95	1212
73	96	1211
74	98	1217
75	99	1215
76	100	1210
77	102	1208
78	103	1211
79	104	1206
80	106	1212
81	108	1211
82	109	1210
83	110	1208
84	111	1204
85	113	1205
86	115	1207
87	116	1204
88	117	1206
89	119	1205
90	120	1200
91	121	1196
92	122	1199
93	124	1199
94	125	1197
95	127	1196
96	128	1195
97	128	1186
98	130	1187
99	131	1183
100	133	1186
101	134	1185
102	135	1183
103	137	1185
104	139	1187
105	140	1184
106	142	1187
107	143	1184
108	144	1181
109	146	1183
110	147	1179
111	148	1174
112	149	1170
113	150	1172
114	152	1171
115	153	1171
116	155	1169
117	156	1168
118	158	1171
119	159	1171
120	161	1172
121	162	1171
122	164	1172
123	165	1171
124	167	1170
125	168	1167
126	169	1167
127	171	1167
128	172	1167
129	174	1167
130	175	1167
131	177	1164
132	178	1162
133	179	1161
134	180	1159
135	182	1158
136	184	1159
137	184	1155
138	186	1154
139	187	1151
140	188	1148
141	189	1147
142	190	1144
143	192	1143
144	193	1142
145	195	1143
146	196	1139
147	198	1141
148	199	1138
149	200	1135
150	202	1137
151	203	1136
152	205	1135
153	206	1134
154	207	1132
155	209	1132
156	210	1131
157	212	1129
158	213	1128
159	214	1128
160	216	1126
161	217	1124
162	218	1122
163	220	1123
164	221	1123
165	223	1122
166	225	1123
167	226	1123
168	228	1123
169	229	1122
170	231	1123
171	233	1122
172	234	1121
173	236	1121
174	237	1119
175	238	1118
176	240	1119
177	242	1119
178	244	1119
179	245	1118
180	246	1115
181	248	1116
182	249	1116
183	251	1116
184	252	1114
185	253	1111
186	255	1109
187	256	1108
188	257	1105
189	259	1104
190	260	1103
191	262	1102
192	263	1101
193	265	1102
194	267	1102
195	268	1100
196	269	1100
197	271	1099
198	273	1100
199	274	1098
200	276	1099
201	277	1097
202	278	1095
203	280	1094
204	282	1094
205	283	1093
206	284	1091
207	286	1091
208	287	1089
209	289	1089
210	290	1087
211	292	1088
212	294	1086
213	295	1086
214	297	1084
215	298	1083
216	300	1083
217	301	1082
218	303	1081
219	304	1079
220	305	1078
221	307	1077
222	308	1076
223	310	1075
224	312	1074
225	313	1073
226	315	1073
227	316	1071
228	317	1069
229	319	1068
230	320	1067
231	322	1065
232	323	1065
233	325	1065
234	326	1064
235	328	1062
236	329	1061
237	331	1061
238	333	1060
239	334	1058
240	335	1057
241	337	1056
242	339	1056
243	340	1055
244	342	1055
245	343	1053
246	345	1052
247	346	1051
248	348	1050
249	350	1050
250	351	1049
251	353	1049
252	355	1048
253	356	1048
254	358	1047
255	359	1045
256	361	1044
257	363	1044
258	364	1044
259	366	1042
260	367	1041
261	369	1040
262	371	1039
263	372	1037
264	373	1036
265	375	1035
266	376	1033
267	378	1032
268	379	1030
269	381	1030
270	382	1029
271	384	1027
272	385	1027
273	387	1026
274	389	1025
275	390	1024
