acyl_chlorides,class,smiles,pka_aHs,pka_lowest,split_type
1,aromatic,ClC(c1ccc(F)cc1)=O,,,train
2,aromatic,ClC(=O)c1ccccc1,,,train
3,aromatic,CC(C)(C)c1ccc(cc1)C(Cl)=O,,,train
4,aromatic,Fc1ccc(c(F)c1)C(Cl)=O,,,train
5,aromatic,FC(F)(F)c1ccc(cc1)C(Cl)=O,,,train
6,aromatic,ClC(=O)c1ccc(cc1)c2ccccc2,,,train
7,hetero,ClC(=O)c1sccc1,,,train
8,aromatic,ClC(=O)c1ccc2ccccc2c1,,,train
9,aromatic,COc1ccc(cc1)C(Cl)=O,,,train
10,aliphatic,CC(C)(C)C(Cl)=O,,,train
11,aliphatic,CCCCC(Cl)=O,15.1,-0.8,train
12,aromatic,ClC(=O)c1ccc(Cl)cc1,,,train
13,aliphatic,CCCCCCC(Cl)=O,10.6,-0.8,train
14,aliphatic,CC(Cl)=O,14.6,,train
15,aromatic,FC(F)(F)Oc1ccc(cc1)C(Cl)=O,,,train
16,aromatic,ClC(=O)c1cccc2ccccc12,,,train
17,aromatic,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,,,test
18,aromatic,Cc1ccc(cc1)C(Cl)=O,,,train
19,aromatic,ClC(=O)c1ccc(Cl)cc1Cl,,,train
20,hetero,ClC(=O)c1occc1,,,train
21,mixture,CCC(C(Cl)=O)c1ccccc1,13,5.6,train
22,aliphatic,CCCCC(CC)C(Cl)=O,14.8,-1.6,train
23,aromatic,Cc1ccccc1C(Cl)=O,,,train
24,aromatic,CCc1ccc(cc1)C(Cl)=O,,,train
25,aliphatic,CCCCCCCCCCCC(Cl)=O,14.9,,train
26,aliphatic,CC(C)C(Cl)=O,15.4,,train
27,mixture,ClC(C=Cc1ccccc1)=O,18.4,,train
28,aromatic,ClC(=O)c1ccc(Br)cc1,,,train
29,aromatic,COc1cc(cc(OC)c1OC)C(Cl)=O,,,train
30,aromatic,[O-][N+](=O)c1ccc(cc1)C(Cl)=O,,,train
31,aliphatic,ClC(=O)C12CC3CC(CC(C3)C1)C2,,,train
32,aliphatic,O=C(Cl)CC1=CC=CC=C1,10.9,,test
33,aliphatic,ClC(C(CC)CC)=O,15.1,6.5,test
34,aromatic,ClC(C1=CC=CC=C1C(F)(F)F)=O,,,test
35,aliphatic,ClC(CCC1=CC=CC=C1)=O,13.5,-5.9,test
36,aliphatic,ClC(C1CCCC1)=O,14.4,,test
37,aromatic,ClC(C1=C(F)C=CC=C1F)=O,,,test
38,aromatic,ClC(C1=CC(Cl)=CC=C1F)=O,,,test
39,aromatic,CCOC1=C(C(Cl)=O)C=CC=C1,,,test
40,aliphatic,O=C(Cl)COC1=CC=CC=C1,11.9,,test
41,aliphatic,ClC(CC1=CC=CS1)=O,9.8,,test
42,aliphatic,ClC(C1CCCCC1)=O,15.4,7.6,test
43,aliphatic,ClC(C1CCOCC1)=O,14.8,,test
44,hetero,ClC1=CC=C(C(Cl)=O)S1,,,test
45,aliphatic,ClC(COCC1=CC=CC=C1)=O,13.3,2.5,test
46,aliphatic,ClC(CC(OC)=O)=O,8.3,,test
