amines,pka_basic,smiles,class
1,10.21,CC(N)(C)C,1_aliphatic
3,3.67,Nc1ccc(F)cc1,1_aromatic
4,4.78,COc1ccc(N)cc1,1_aromatic
5,4.31,Nc1ccccc1,1_aromatic
6,4.06,Nc1c(C)cc(C)cc1C,1_aromatic
7,4.58,CCCCCCCc1ccc(N)cc1,1_aromatic
8,2.99,CC(C)c1cccc(C(C)C)c1N,1_aromatic
9,10.05,C1CCC(CC1)NC2CCCCC2,2_aliphatic
10,4.59,CCCCCCc1ccc(N)cc1,1_aromatic
11,3.17,CSc1ccccc1N,1_aromatic
12,3.66,Nc1ccccc1c2ccccc2,1_aromatic
13,4.6,CC(C)(C)c1ccc(N)cc1,1_aromatic
14,9.95,CC(C)NC(C)C,2_aliphatic
15,3.8,Nc1ccc(Br)cc1,1_aromatic
16,10.17,CC1CCCCN1,2_aliphatic
17,3.87,Nc1cccc2cccnc12,1_aromatic
18,3.7,CC(=O)c1cccc(N)c1,1_aromatic
19,7.8,C1COCCN1,2_aliphatic
20,3.25,COc1ccc(cc1N)C(F)(F)F,1_aromatic
21,3.72,COCCOc1ccccc1N,1_aromatic
22,9.99,CCC(N)CC,1_aliphatic
23,10.08,CC1CCCC(C)N1,2_aliphatic
24,4.35,Nc1ccc(C=C)cc1,1_aromatic
25,4.61,Cc1ccc(N)cc1,1_aromatic
26,4.6,Cc1cccc(N)c1,1_aromatic
27,10.08,CC(C)NC1CCCCC1,2_aliphatic
28,3.62,COc1ccccc1N,1_aromatic
29,6.46,NC(c1ccccc1)(c2ccccc2)c3ccccc3,1_mixture
30,3.4,Cc1cccc(C)c1N,1_aromatic
31,7.8,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,2_aliphatic
32,3.44,N#CCCNc1ccccc1,2_mixture
33,3.1,Nc1ccccc1F,1_aromatic
35,4.08,COc1cccc(N)c1,1_aromatic
36,3.17,Nc1ccc(cc1)C(=O)c2ccccc2,1_aromatic
37,4.54,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,1_aromatic
38,8.83,ClC(C=C1)=CC=C1C(N2CCNCC2)C3=CC=CC=C3,2_aliphatic
39,5.74,NC1=CC=C(N2CCOCC2)C=C1,1_aromatic
40,4.26,NC1=CC(C2=CC=CC=C2)=CC=C1,1_aromatic
41,3.21,NC1=C(OC2=CC=CC=C2)C=CC=C1,1_aromatic
42,3.96,NC1=CC=CC(C#C)=C1,1_aromatic
43,4.84,NC1=CC(CCC2)=C2C=C1,1_aromatic
44,4.55,NC1=CC2=C(OCCO2)C=C1,1_aromatic
45,3.36,ClC1=CC(OC)=C(N)C=C1OC,1_aromatic
46,4.26,NC1=CC2=C(C=C1)C3=CC=CC=C3C2,1_aromatic
47,4.58,NC1=CC=C(OC2=CC=CC=C2)C=C1,1_aromatic
48,3.63,NC1=C(N2CCOCC2)C=CC=C1,1_aromatic
49,9.89,CCNCC,2_aliphatic
50,9.68,CCCCC(CC)CNCC(CC)CCCC,2_aliphatic
51,10.87,C1CCNC1,2_aliphatic
52,8.57,C1CN(CCN1)C2=CC=CC=C2F,2_aliphatic
53,9.41,CNCC1=C2C=CC=CC2=CC3=CC=CC=C31,2_aliphatic
54,9.42,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,2_aliphatic
55,9.31,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,2_aliphatic
56,8.4,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,2_aliphatic
