reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits
rxn_01_01,1,1,11.76353277,521.9425578,False,False,2.717622709509551,CC(N)(C)C,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_03,1,3,11.76353277,19.59360033,False,False,1.2921142450701282,Nc1ccc(F)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_04,1,4,11.76353277,425.1463402,False,False,2.628538444878437,COc1ccc(N)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_05,1,5,11.76353277,17.87627696,False,False,1.2522770746338756,Nc1ccccc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_06,1,6,11.76353277,16.01125069,False,True,1.2044252573753107,Nc1c(C)cc(C)cc1C,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_07,1,7,11.76353277,65.73051044,False,False,1.817767004871492,CCCCCCCc1ccc(N)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_08,1,8,11.76353277,12.64280985,False,True,1.101843606124731,CC(C)c1cccc(C(C)C)c1N,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_09,1,9,11.76353277,16.539027,False,True,1.218509956186261,C1CCC(CC1)NC2CCCCC2,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_10,1,10,11.76353277,67.06171285,False,False,1.8264746417233315,CCCCCCc1ccc(N)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_11,1,11,11.76353277,12.03719692,False,True,1.0805253653347806,CSc1ccccc1N,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_12,1,12,11.76353277,18.43976521,False,False,1.2657553869643257,Nc1ccccc1c2ccccc2,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_13,1,13,11.76353277,63.07460707,False,False,1.7998545537141892,CC(C)(C)c1ccc(N)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_14,1,14,11.76353277,11.57779732,False,True,1.0636259425726358,CC(C)NC(C)C,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_15,1,15,11.76353277,10.65328736,False,True,1.0274836417663407,Nc1ccc(Br)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_16,1,16,11.76353277,1360.0,False,False,3.1335389083702174,CC1CCCCN1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_17,1,17,11.76353277,14.61677796,False,True,1.164851649748408,Nc1cccc2cccnc12,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_18,1,18,11.76353277,11.67307218,False,True,1.0671851709751985,CC(=O)c1cccc(N)c1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_19,1,19,11.76353277,1066.666667,False,False,3.0280287237359604,C1COCCN1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_20,1,20,11.76353277,10.05242709,False,True,1.0022709318594545,COc1ccc(cc1N)C(F)(F)F,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_21,1,21,11.76353277,44.30919322,False,False,1.6464938424872213,COCCOc1ccccc1N,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_22,1,22,11.76353277,853.3333333,False,False,2.9311187105752223,CCC(N)CC,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_23,1,23,11.76353277,11.27418658,False,True,1.0520852178173188,CC1CCCC(C)N1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_24,1,24,11.76353277,13.68885965,False,True,1.1363672707534083,Nc1ccc(C=C)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_25,1,25,11.76353277,65.03801073,False,False,1.8131672493419149,Cc1ccc(N)cc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_26,1,26,11.76353277,29.56872763,False,False,1.470832636830519,Cc1cccc(N)c1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_27,1,27,11.76353277,7.907942472,False,True,0.8980635012860668,CC(C)NC1CCCCC1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_28,1,28,11.76353277,38.57217228,False,False,1.586274097840673,COc1ccccc1N,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_29,1,29,11.76353277,7.055067372,False,True,0.8485011653828017,NC(c1ccccc1)(c2ccccc2)c3ccccc3,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_30,1,30,11.76353277,6.090462504,False,True,0.7846502738000665,Cc1cccc(C)c1N,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_31,1,31,11.76353277,16.7327901,False,True,1.2235683631981462,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_32,1,32,11.76353277,6.521297371,False,True,0.8143340044767117,N#CCCNc1ccccc1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_33,1,33,11.76353277,7.587329286,False,True,0.8800889326194261,Nc1ccccc1F,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_35,1,35,11.76353277,14.54879537,False,True,1.1628270355336134,COc1cccc(N)c1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_36,1,36,11.76353277,9.486291367,False,True,0.9770964596724829,Nc1ccc(cc1)C(=O)c2ccccc2,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_37,1,37,11.76353277,21.81195187,False,False,1.3386945307066747,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_38,1,38,11.76353277,3413.0,False,False,3.533136288278639,ClC(C=C1)=CC=C1C(N2CCNCC2)C3=CC=CC=C3,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_39,1,39,11.76353277,750.0,False,False,2.8750612633917,NC1=CC=C(N2CCOCC2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_40,1,40,11.76353277,7.34,False,True,0.8656960599160706,NC1=CC(C2=CC=CC=C2)=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_41,1,41,11.76353277,4.1,False,True,0.6127838567197355,NC1=C(OC2=CC=CC=C2)C=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_42,1,42,11.76353277,6.06,False,True,0.7824726241662862,NC1=CC=CC(C#C)=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_43,1,43,11.76353277,243.2995,False,False,2.386141216421718,NC1=CC(CCC2)=C2C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_44,1,44,11.76353277,200.7105,False,False,2.3025700928301824,NC1=CC2=C(OCCO2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1
