reaction,acyl_chlorides,amines,Name,NMR_rate
rxn_01_01,1,1,Acid chloride 1 + Amine 1,450.4806
rxn_01_03,1,3,Acid chloride 1 + Amine 3,7.3677
rxn_01_04,1,4,Acid chloride 1 + Amine 4,82.6823
rxn_01_05,1,5,Acid chloride 1 + Amine 5,6.1377
rxn_01_06,1,6,Acid chloride 1 + Amine 6,3.7037
rxn_01_07,1,7,Acid chloride 1 + Amine 7,18.6814
rxn_01_08,1,8,Acid chloride 1 + Amine 8,0.9247
rxn_01_09,1,9,Acid chloride 1 + Amine 9,2.9513
rxn_01_10,1,10,Acid chloride 1 + Amine 10,18.5664
rxn_01_11,1,11,Acid chloride 1 + Amine 11,0.8433
rxn_01_12,1,12,Acid chloride 1 + Amine 12,2.2247
rxn_01_13,1,13,Acid chloride 1 + Amine 13,29.6559
rxn_01_14,1,14,Acid chloride 1 + Amine 14,3.0925
rxn_01_15,1,15,Acid chloride 1 + Amine 15,1.3934
rxn_01_17,1,17,Acid chloride 1 + Amine 17,6.7246
rxn_01_18,1,18,Acid chloride 1 + Amine 18,1.9221
rxn_01_20,1,20,Acid chloride 1 + Amine 20,0.4488
rxn_01_21,1,21,Acid chloride 1 + Amine 21,7.953
rxn_01_23,1,23,Acid chloride 1 + Amine 23,4.8602
rxn_01_24,1,24,Acid chloride 1 + Amine 24,5.3957
rxn_01_25,1,25,Acid chloride 1 + Amine 25,19.0456
rxn_01_26,1,26,Acid chloride 1 + Amine 26,10.3172
rxn_01_27,1,27,Acid chloride 1 + Amine 27,3.579
rxn_01_28,1,28,Acid chloride 1 + Amine 28,9.0303
rxn_01_29,1,29,Acid chloride 1 + Amine 29,0.3256
rxn_01_30,1,30,Acid chloride 1 + Amine 30,0.9864
rxn_01_31,1,31,Acid chloride 1 + Amine 31,3.7341
rxn_01_32,1,32,Acid chloride 1 + Amine 32,0.5023
rxn_01_33,1,33,Acid chloride 1 + Amine 33,0.3706
rxn_01_35,1,35,Acid chloride 1 + Amine 35,4.0083
rxn_01_36,1,36,Acid chloride 1 + Amine 36,0.1288
rxn_02_03,2,3,Amine 3 + Acid Chloride 2,6.8476
rxn_03_03,3,3,Amine 3 + Acid Chloride 3,8.2244
rxn_04_03,4,3,Amine 3 + Acid Chloride 4,68.3126
rxn_05_03,5,3,Amine 3 + Acid Chloride 5,24.5018
rxn_06_03,6,3,Amine 3 + Acid Chloride 6,10.327
rxn_07_03,7,3,Amine 3 + Acid Chloride 7,4.1765
rxn_08_03,8,3,Amine 3 + Acid Chloride 8,10.3793
rxn_09_03,9,3,Amine 3 + Acid Chloride 9,3.2689
rxn_10_03,10,3,Amine 3 + Acid Chloride 10,17.0357
rxn_11_03,11,3,Amine 3 + Acid Chloride 11,59.1295
rxn_12_03,12,3,Amine 3 + Acid Chloride 12,15.4861
rxn_13_03,13,3,Amine 3 + Acid Chloride 13,65.768
rxn_14_03,14,3,Amine 3 + Acid Chloride 14,433.5306
rxn_15_03,15,3,Amine 3 + Acid Chloride 15,13.4499
rxn_16_03,16,3,Amine 3 + Acid Chloride 16,4.4171
rxn_18_03,18,3,Amine 3 + Acid Chloride 18,5.6282
rxn_19_03,19,3,Amine 3 + Acid Chloride 19,20.7746
rxn_20_03,20,3,Amine 3 + Acid Chloride 20,9.4708
rxn_21_03,21,3,Amine 3 + Acid Chloride 21,386.9511
rxn_22_03,22,3,Amine 3 + Acid Chloride 22,11.0279
rxn_23_03,23,3,Amine 3 + Acid Chloride 23,7.1149
rxn_24_03,24,3,Amine 3 + Acid Chloride 24,3.6466
rxn_25_03,25,3,Amine 3 + Acid Chloride 25,101.8586
rxn_26_03,26,3,Amine 3 + Acid Chloride 26,50.7315
rxn_27_03,27,3,Amine 3 + Acid Chloride 27,147.7759
rxn_28_03,28,3,Amine 3 + Acid Chloride 28,12.9576
rxn_29_03,29,3,Amine 3 + Acid Chloride 29,7.3954
rxn_30_03,30,3,Amine 3 + Acid Chloride 30,113.83
rxn_31_03,31,3,Amine 3 + Acid Chloride 31,12.4844
rxn_01_37,1,37,Amine 37 + Acid Chloride 1,11.833
rxn_02_37,2,37,Amine 37 + Acid chloride 2,12.5752
rxn_03_37,3,37,Amine 37 + Acid chloride 3,5.4307
rxn_04_37,4,37,Amine 37 + Acid chloride 4,101.3
rxn_05_37,5,37,Amine 37 + Acid chloride 5,20.2119
rxn_06_37,6,37,Amine 37 + Acid chloride 6,8.1901
rxn_07_37,7,37,Amine 37 + Acid chloride 7,3.3328
rxn_08_37,8,37,Amine 37 + Acid chloride 8,11.7187
rxn_09_37,9,37,Amine 37 + Acid chloride 9,2.5031
rxn_10_37,10,37,Amine 37 + Acid chloride 10,18.9535
rxn_11_37,11,37,Amine 37 + Acid chloride 11,29.1732
rxn_12_37,12,37,Amine 37 + Acid chloride 12,19.2354
rxn_13_37,13,37,Amine 37 + Acid chloride 13,67.672
rxn_14_37,14,37,Amine 37 + Acid chloride 14,835.2252
rxn_15_37,15,37,Amine 37 + Acid chloride 15,14.2472
rxn_16_37,16,37,Amine 37 + Acid chloride 16,5.9037
rxn_17_37,17,37,Amine 37 + Acid chloride 17,23.6269
rxn_18_37,18,37,Amine 37 + Acid chloride 18,5.0835
rxn_19_37,19,37,Amine 37 + Acid chloride 19,22.4479
