reaction,acid_chlorides,amines,is_valid,status,message,barriers_dGTS_from_RXTS_B,barriers_dGTS_from_INT1_B,rxn_dG_B,barriers_dGTS_from_PRDS_B,lowest_barrier_dGTS_path_B,imag_freq,used_constrained
rxn_01_01,1,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -134.12 cm-1,18.07,16.6,-10.67,28.74,16.6,-134.12,FALSE
rxn_01_03,1,3,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -18.09 cm-1,20.22,21.04,-7.63,27.85,20.22,-18.09,FALSE
rxn_01_04,1,4,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -71.49 cm-1
Breaking bond change: +0.073 Å, Forming bond change: -0.213 Å",16.18,14.27,-8.75,24.93,14.27,-71.49,TRUE
rxn_01_05,1,5,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -232.62 cm-1,17.17,15.4,-7.33,24.5,15.4,-232.62,TRUE
rxn_01_06,1,6,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -289.15 cm-1
Breaking bond change: +0.124 Å, Forming bond change: -0.396 Å",15.3,17.81,-8.19,23.49,15.3,-289.15,TRUE
rxn_01_07,1,7,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -140.23 cm-1,12.02,16.23,-6.5,18.52,12.02,-140.23,TRUE
rxn_01_08,1,8,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -9.55 cm-1,16.79,24.09,-9,25.79,16.79,-9.55,FALSE
rxn_01_09,1,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -177.92 cm-1,20.32,19.39,-3.5,23.82,19.39,-177.92,FALSE
rxn_01_10,1,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -34.47 cm-1,16.67,16.79,-8.01,24.68,16.67,-34.47,FALSE
rxn_01_11,1,11,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -35.47 cm-1,19.48,17.96,-7.23,26.71,17.96,-35.47,FALSE
rxn_01_12,1,12,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -39.41 cm-1,17.99,17.73,-8.35,26.34,17.73,-39.41,FALSE
rxn_01_13,1,13,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -165.46 cm-1,16.14,11.23,-7.71,23.85,11.23,-165.46,TRUE
rxn_01_14,1,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -141.81 cm-1,15.04,17.95,-5.68,20.72,15.04,-141.81,FALSE
rxn_01_15,1,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -65.61 cm-1,16.11,17.09,-6.77,22.88,16.11,-65.61,FALSE
rxn_01_16,1,16,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -111.71 cm-1
Breaking bond change: +0.079 Å, Forming bond change: -0.222 Å",18.6,17.9,-12.23,30.83,17.9,-111.71,TRUE
rxn_01_17,1,17,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -96.25 cm-1,16.59,14,-9.42,26.01,14,-96.25,FALSE
rxn_01_18,1,18,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -166.44 cm-1,20.45,18.89,-6.07,26.52,18.89,-166.44,FALSE
rxn_01_19,1,19,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -43.35 cm-1,15.31,13.65,-11.25,26.56,13.65,-43.35,FALSE
rxn_01_20,1,20,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -78.41 cm-1
Breaking bond change: +0.110 Å, Forming bond change: -0.232 Å",18.47,18.35,-7.74,26.21,18.35,-78.41,FALSE
rxn_01_21,1,21,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -27.48 cm-1,11.79,10.81,-10.39,22.18,10.81,-27.48,FALSE
rxn_01_22,1,22,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -239.12 cm-1,14.14,8.95,-12.3,26.44,8.95,-239.12,FALSE
rxn_01_23,1,23,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -224.54 cm-1,25.11,23.05,1.33,23.78,23.05,-224.54,FALSE
rxn_01_24,1,24,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -43.36 cm-1
Breaking bond change: +0.068 Å, Forming bond change: -0.149 Å",22.29,22.32,-7.64,29.93,22.29,-43.36,FALSE
rxn_01_25,1,25,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -43.06 cm-1,17.78,15.82,-8.33,26.11,15.82,-43.06,FALSE
rxn_01_26,1,26,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -65.75 cm-1
Breaking bond change: +0.094 Å, Forming bond change: -0.191 Å",18.51,17.41,-7.65,26.16,17.41,-65.75,FALSE
rxn_01_27,1,27,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -65.04 cm-1
Breaking bond change: +0.130 Å, Forming bond change: -0.265 Å",19.36,21.43,-8.05,27.41,19.36,-65.04,FALSE
rxn_01_28,1,28,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -18.00 cm-1,17.19,16.66,-9.25,26.44,16.66,-18,FALSE
rxn_01_29,1,29,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -52.71 cm-1,29.82,31.87,-8.07,37.89,29.82,-52.71,FALSE
rxn_01_30,1,30,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -4.51 cm-1,22.32,23.91,-7.31,29.63,22.32,-4.51,FALSE
rxn_01_31,1,31,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -106.09 cm-1
Breaking bond change: +0.298 Å, Forming bond change: -0.134 Å",26.7,24.47,-3.56,30.26,24.47,-106.09,FALSE
rxn_01_32,1,32,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -143.09 cm-1
Breaking bond change: +0.099 Å, Forming bond change: -0.297 Å",19.53,25.64,-7.55,27.08,19.53,-143.09,TRUE
rxn_01_33,1,33,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -276.79 cm-1,18.66,15.87,-7.8,26.46,15.87,-276.79,TRUE
rxn_01_35,1,35,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -23.14 cm-1,16.97,21.15,-6.98,23.95,16.97,-23.14,FALSE
rxn_01_36,1,36,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -226.70 cm-1,15.6,12.33,-6.79,22.39,12.33,-226.7,TRUE
rxn_01_37,1,37,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -49.39 cm-1
Breaking bond change: +0.054 Å, Forming bond change: -0.151 Å",13.13,18.46,-7.43,20.56,13.13,-49.39,TRUE
rxn_01_38,1,38,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -23.03 cm-1,5.78,14.43,-19.1,24.88,5.78,-23.03,FALSE
rxn_01_39,1,39,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -24.60 cm-1
Breaking bond change: +0.038 Å, Forming bond change: -0.106 Å",15.98,15.29,-8.21,24.19,15.29,-24.6,TRUE
rxn_01_40,1,40,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -213.09 cm-1,15.1,16.92,-7.27,22.37,15.1,-213.09,TRUE
rxn_01_41,1,41,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -72.73 cm-1
Breaking bond change: +-0.077 Å, Forming bond change: 0.231 Å",9.57,18.4,-8.66,18.23,9.57,-72.73,TRUE
rxn_01_42,1,42,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -34.15 cm-1,20.47,18.71,-6.69,27.16,18.71,-34.15,FALSE
rxn_01_43,1,43,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -227.53 cm-1,16.56,14.82,-7.99,24.55,14.82,-227.53,TRUE
rxn_01_44,1,44,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -224.18 cm-1,16.55,12.97,-8.05,24.6,12.97,-224.18,TRUE
rxn_01_45,1,45,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -50.11 cm-1,14.05,16.88,-10.64,24.69,14.05,-50.11,FALSE
rxn_01_46,1,46,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -138.05 cm-1,20.35,22.49,-7.53,27.88,20.35,-138.05,FALSE
rxn_01_47,1,47,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -176.32 cm-1,17.25,23.01,-7.3,24.55,17.25,-176.32,FALSE
rxn_01_48,1,48,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -169.65 cm-1
Breaking bond change: +0.106 Å, Forming bond change: -0.315 Å",16.51,15.3,-1.35,17.86,15.3,-169.65,TRUE
rxn_02_01,2,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -149.07 cm-1,18.12,16.33,-10.71,28.83,16.33,-149.07,FALSE
rxn_02_03,2,3,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -245.45 cm-1
Breaking bond change: +-0.100 Å, Forming bond change: 0.341 Å",18.59,17.39,-7.94,26.53,17.39,-245.45,TRUE
rxn_02_04,2,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -29.64 cm-1,18.61,17.49,-8.97,27.58,17.49,-29.64,FALSE
rxn_02_05,2,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -168.73 cm-1,20.38,23.18,-7.65,28.03,20.38,-168.73,FALSE
rxn_02_06,2,6,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -282.92 cm-1
Breaking bond change: +-0.100 Å, Forming bond change: 0.405 Å",15.33,18.42,-8.47,23.8,15.33,-282.92,TRUE
