reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits,NMR_rate,NMR_lnk
rxn_07_54,7,54,16.83885254,0,TRUE,FALSE,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,ClC(=O)c1sccc1,TEST1,,
rxn_22_54,22,54,1.092647029,0,TRUE,FALSE,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CCCCC(CC)C(Cl)=O,TEST1,,
rxn_07_55,7,55,16.83885254,0,TRUE,FALSE,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,ClC(=O)c1sccc1,TEST1,,
rxn_22_55,22,55,1.092647029,0,TRUE,FALSE,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,CCCCC(CC)C(Cl)=O,TEST1,,
rxn_25_55,25,55,368.6251809,0,TRUE,FALSE,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,CCCCCCCCCCCC(Cl)=O,TEST1,3921,3.593396842
rxn_07_56,7,56,16.83885254,154.66,FALSE,FALSE,2.189378006,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,ClC(=O)c1sccc1,TEST1,,
rxn_14_56,14,56,518.8717015,300.69,FALSE,TRUE,2.478118985,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,CC(Cl)=O,TEST1,,
rxn_22_56,22,56,1.092647029,3.7,FALSE,FALSE,0.568201724,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,CCCCC(CC)C(Cl)=O,TEST1,1.94,0.28780173
rxn_03_54,3,54,3.638349599,,TRUE,FALSE,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TEST1,0,
rxn_10_54,10,54,3.740116879,,TRUE,FALSE,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CC(C)(C)C(Cl)=O,TEST1,2336.9,3.368640129
rxn_31_55,31,55,3.349492065,,TRUE,FALSE,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,ClC(=O)C12CC3CC(CC(C3)C1)C2,TEST1,1087.7,3.036509129
