model,source,n_train,train_r2,train_mae,train_rmse,n_test,test_r2,test_mae,test_rmse
ensemble_equal_ens7,ensemble,619.0,0.9669829417160579,0.11131902978337709,0.1647973283611912,206,0.8064740147371297,0.3226516986810287,0.4225378835083539
predictions_each_8_optuna_ens7_gpu2,file,619.0,0.9635728867606554,0.11464829797593966,0.17309852073654788,206,0.8044362607641931,0.32522063528705397,0.42475663860460067
ensemble_equal_curated8,ensemble,,,,,206,0.7951241652555708,,
predictions_each_8_optuna_ens7_gpu0,file,619.0,0.977865364042741,0.08527585925227286,0.1349326874929332,206,0.7950703215746224,0.3372294710042112,0.4348089133344731
predictions_each_8_optuna_ens7_gpu3,file,619.0,0.957649317957919,0.12317154146041269,0.18664277505067536,206,0.7927927560316042,0.3345860787547378,0.437218445848631
predictions_each_8_optuna_ens7_gpu1,file,619.0,0.946229201508979,0.1526143758273453,0.21030723882895663,206,0.7879768350757687,0.32936835050818236,0.44227018755631237
ensemble_ridge_curated8,ensemble,,,,,206,0.7743453613623423,,
ensemble_nnls_curated8,ensemble,,,,,206,0.7743450822022042,,
ensemble_nnls_selected,ensemble,,,,,206,0.7743450822022041,,
ensemble_equal_selected,ensemble,,,,,206,0.7743450822022038,,
predictions_each_8_zoo_S97_ETR,file,619.0,1.0,1.2574570490949206e-14,1.6142281559625046e-14,206,0.7743450822022038,0.3357606287868228,0.4562663184643838
ensemble_ridge_selected,ensemble,,,,,206,0.7743450677696374,,
predictions_each_8_optuna_ens6_gpu2,file,619.0,0.9325250646303603,0.17739587558086617,0.23872350769503323,206,0.7598399199281638,0.306156843446015,0.4536322734853746
predictions_each_8_optuna_ens6_gpu0,file,619.0,0.9902944755799407,0.06848484766109501,0.09236115247892528,206,0.7512677838867362,0.33837256353633144,0.4468298501010599
predictions_each_8_optuna_ens6_gpu1,file,619.0,0.9545267907795232,0.14037616635608363,0.19832533944576916,206,0.747384974999403,0.32108408739895,0.45727971670602985
predictions_each_8_optuna_ens6_gpu3,file,619.0,0.9432622074928437,0.1481809958597199,0.22482996791032417,206,0.7423656266805723,0.3257297849197034,0.44017769629771786
predictions_each_8_zoo_S97_MLP,file,619.0,0.7880453706998102,0.2918896495195878,0.41754417732999854,206,0.7143613479816726,0.4006015135972274,0.5133392792005191
predictions_each_8_zoo_S97_GPR,file,619.0,0.7548325238574054,0.32318677341641644,0.44906830795139385,206,0.7073996863996332,0.400277967477912,0.5195572418797323
predictions_each_8_zoo_S97_SVR,file,619.0,0.7952552599046997,0.25299784587540475,0.4103811038893853,206,0.704436523137056,0.4130057323071248,0.5221813929148498
predictions_each_8_zoo_S97_Ridge,file,619.0,0.4903238523508102,0.4901926863111818,0.6474826467604555,206,0.5869325313462337,0.48340911311078605,0.617314539046524
predictions_each_8_zoo_S97_LR,file,619.0,0.49032865994473585,0.490041837462031,0.6474795930164315,206,0.586860807692666,0.48340147674078965,0.6173681309360833
predictions_each_8_zoo_S97_KR,file,619.0,0.6778087070176374,0.37520079821712043,0.5147992179093036,206,0.5629680139170035,0.4625057388920524,0.6349691432053732
predictions_each_8_zoo_S97_Lasso,file,619.0,0.0,0.7486127788139962,0.9069450578865872,206,-0.018900546363953996,0.7993038571998595,0.9695314614632692
predictions_each_8_zoo_S97_ENet,file,619.0,0.0,0.7486127788139962,0.9069450578865872,206,-0.018900546363953996,0.7993038571998595,0.9695314614632692
