n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
1,Bayesian Ridge,-0.0768152212887431,-0.2450882404472059,in_all,['amine_global_N']
2,Bayesian Ridge,0.051677187462008646,0.00758393654845646,in_all,"['amine_global_N', 'acyl_has_pKa_features']"
3,Random Forest,0.28151928954037186,0.2540329739224577,in_all,"['amine_global_N', 'acyl_has_pKa_features', 'amine_BV_secondary_1']"
4,Random Forest,0.4491196654325333,0.32973668706858106,in_all,"['amine_global_N', 'acyl_has_pKa_features', 'acyl_global_E', 'amine_BV_secondary_1']"
5,XGBoost,0.5390225142591747,0.359387644430447,in_all,"['acyl_B1_avg', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features']"
6,LightGBM,0.5266015436611614,0.43438944006767877,in_all,"['acyl_B1_avg', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'amine_FREQS_1']"
7,LightGBM,0.5730003764962786,0.4954632378031685,in_all,"['acyl_B1_avg', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_BV_main_1', 'amine_FREQS_1']"
8,LightGBM,0.5998105535532379,0.5064646214286165,in_all,"['acyl_B1_avg', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1']"
9,LightGBM,0.5710053090225021,0.5047969085097644,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1']"
10,LightGBM,0.5765563456286233,0.4965150931206196,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1']"
11,LightGBM,0.5650259947508145,0.49320259218541074,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1', 'acyl_class_aromatic']"
12,XGBoost,0.6122762863397482,0.5078936912091341,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1', 'acyl_class_aromatic']"
13,LightGBM,0.6043085844623282,0.4946751349772701,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'amine_FREQS_1', 'acyl_class_aromatic']"
14,LightGBM,0.5524303625528864,0.5438208512758651,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_global_N', 'acyl_has_pKa_features', 'acyl_class_hetero', 'acyl_BV_main_1', 'acyl_hardness', 'amine_FREQS_1', 'acyl_class_aromatic']"
15,LightGBM,0.5500346622230248,0.5384104943011538,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_PYR', 'acyl_has_pKa_features', 'amine_global_N', 'acyl_class_hetero', 'acyl_BV_main_1', 'acyl_hardness', 'amine_FREQS_1', 'acyl_class_aromatic']"
16,LightGBM,0.6096586904531556,0.49231995146844987,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_PYR', 'acyl_has_pKa_features', 'amine_global_N', 'acyl_class_hetero', 'acyl_BV_main_1', 'acyl_hardness', 'amine_FREQS_1', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
17,XGBoost,0.6242109810792964,0.49250460218202663,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_PYR', 'acyl_has_pKa_features', 'amine_global_N', 'acyl_class_hetero', 'acyl_BV_main_1', 'acyl_hardness', 'amine_FREQS_1', 'amine_DISP_mol', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
18,XGBoost,0.6339786970844818,0.4934926561237808,in_all,"['acyl_B1_avg', 'acyl_num_Hs', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_B1_main_atom_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'amine_PYR', 'acyl_has_pKa_features', 'amine_global_N', 'acyl_class_hetero', 'acyl_BV_main_1', 'acyl_hardness', 'amine_FREQS_1', 'amine_DISP_mol', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
19,XGBoost,0.5940003132891216,0.4650228952437456,in_all,"['acyl_BV_main_1', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
20,XGBoost,0.6033517987246798,0.48847151006131806,in_all,"['acyl_BV_main_1', 'amine_B5_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
21,XGBoost,0.6502715638376225,0.4857083092732677,in_all,"['acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
22,XGBoost,0.631719732736369,0.4874232355059488,in_all,"['acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
23,XGBoost,0.6342711617874816,0.4775061334912205,in_all,"['acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
24,XGBoost,0.6360896166668883,0.4833325178984753,in_all,"['amine_IP', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
25,LightGBM,0.5508811764990406,0.45487639102017197,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
26,XGBoost,0.5957335737844216,0.4840710694634297,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
