amine_smiles,acid_smiles
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,FC(F)(F)c1ccc(cc1)C(Cl)=O
Nc1ccc(F)cc1,ClC(COCC1=CC=CC=C1)=O
Cc1cccc(N)c1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O
CC(C)c1cccc(C(C)C)c1N,ClC(c1ccc(F)cc1)=O
CSc1ccccc1N,ClC(c1ccc(F)cc1)=O
Cc1cccc(N)c1,ClC(c1ccc(F)cc1)=O
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,COc1cc(cc(OC)c1OC)C(Cl)=O
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,Cc1ccccc1C(Cl)=O
NC1=CC(C2=CC=CC=C2)=CC=C1,ClC(c1ccc(F)cc1)=O
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,FC(F)(F)Oc1ccc(cc1)C(Cl)=O
Nc1ccc(F)cc1,ClC(C1=C(F)C=CC=C1F)=O
Nc1ccc(F)cc1,ClC(=O)C12CC3CC(CC(C3)C1)C2
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CC(C)(C)C(Cl)=O
Nc1ccc(F)cc1,CCc1ccc(cc1)C(Cl)=O
Nc1ccc(Br)cc1,ClC(c1ccc(F)cc1)=O
Nc1ccc(F)cc1,CCCCC(CC)C(Cl)=O
Nc1ccc(F)cc1,CC(C)C(Cl)=O
Nc1ccccc1c2ccccc2,FC(F)(F)Sc1ccc(cc1)C(Cl)=O
Nc1ccc(F)cc1,Cc1ccccc1C(Cl)=O
NC1=CC=CC(C#C)=C1,ClC(c1ccc(F)cc1)=O
COc1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O
Cc1cccc(C)c1N,ClC(c1ccc(F)cc1)=O
C1CCC(CC1)NC2CCCCC2,FC(F)(F)Sc1ccc(cc1)C(Cl)=O
Nc1ccc(F)cc1,CC(Cl)=O
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(C=Cc1ccccc1)=O
Nc1ccc(F)cc1,ClC(=O)c1ccc(Br)cc1
Nc1ccc(F)cc1,CCC(C(Cl)=O)c1ccccc1
COCCOc1ccccc1N,ClC(c1ccc(F)cc1)=O
CC(C)NC(C)C,ClC(c1ccc(F)cc1)=O
